City Name,Country,Region,Latitude,Longitude,Land Cover Dates T1,Land Cover Dates T2,Land Cover Dates T3,Urban Extent Population T1,Urban Extent Population T2,Urban Extent Population T3,Built-up Area Total  (ha) T1,Built-up Area Total  (ha) T2,Built-up Area Total  (ha) T3,Urban Built-up Area (ha) T1,Urban Built-up Area (ha) T2,Urban Built-up Area (ha) T3,Surburban Built-up Area (ha) T1,Surburban Built-up Area (ha) T2,Surburban Built-up Area (ha) T3,Rural Built-up Area  (ha) T1,Rural Built-up Area  (ha) T2,Rural Built-up Area  (ha) T3,Urbanized Open Space  (ha) T1,Urbanized Open Space  (ha) T2,Urbanized Open Space  (ha) T3,Urban Extent (ha) T1,Urban Extent (ha) T2,Urban Extent (ha) T3
Accra,Ghana,Sub-Saharan Africa,5.615,-0.159,1/1/91,2/1/00,3/1/14,1307784,2513026,4429649,10022,32171,61781,9053,29166,52848,909,2822,8366,61,184,567,3301,9070,25431,13324,41241,87212
Addis Ababa,Ethiopia,Sub-Saharan Africa,9.001,38.756,1/1/86,12/1/00,12/1/10,1445701,2276356,3009130,7531,11713,21133,6243,9342,18483,1198,2188,2467,90,183,183,4019,6532,8495,11550,18245,29628
Ahmedabad,India,South and Central Asia,23.037,72.589,12/1/89,10/1/00,10/1/13,3737723,4718391,6232952,12174,15916,21103,10356,14149,18932,1698,1642,2035,120,125,137,5018,5376,6306,17192,21292,27409
Ahvaz,Iran,South and Central Asia,31.32,48.665,11/1/91,9/1/00,9/1/13,698310,853527,1178560,7079,9200,12873,5421,7520,10520,1577,1605,2203,82,74,150,2770,3497,6026,9849,12697,18899
Alexandria,Egypt,Western Asia and North Africa,31.152,29.884,10/1/87,4/1/99,7/1/13,2558891,3132780,4345193,7818,15514,22782,6757,13157,18900,998,2234,3625,64,122,257,2175,4843,7637,9993,20356,30418
Algiers,Algeria,Western Asia and North Africa,36.732,3.14,8/1/87,6/1/00,7/1/14,1535735,2184791,3085561,7446,15639,27798,4440,11382,20537,2810,3959,6835,196,298,426,6458,9801,17014,13903,25439,44812
"Anqing, Anhui",China,East Asia and the Pacific,30.536,117.05,9/1/90,4/1/00,10/1/13,402524,350035,642626,2274,2788,8779,1593,1835,6077,631,883,2532,50,69,170,1230,1851,5964,3504,4639,14742
Antwerp,Belgium,Europe and Japan,51.22,4.403,7/1/90,8/1/00,9/1/13,885820,1107990,1277376,21677,35705,43115,12290,20448,27604,8737,14152,14523,650,1105,988,17705,29970,32288,39381,65676,75403
Arusha,Tanzania,Sub-Saharan Africa,36.695,-3.37,10/1/88,9/1/00,10/1/13,84150,181168,377169,178,694,1563,39,381,761,125,287,747,14,26,55,207,695,1666,385,1389,3229
Astrakhan,Russia,Europe and Japan,46.34,48.02,7/1/88,9/1/03,3/1/14,475766,532541,567629,5623,13289,14857,3510,9965,11514,1952,3075,3107,161,250,236,3729,7808,7459,9351,21098,22316
Auckland,New Zealand,Land-Rich Developed Countries,-36.915,174.786,6/1/89,9/1/01,4/1/14,838074,1031718,1300733,27643,29918,34602,22728,24972,30012,4707,4735,4361,207,211,229,13892,14707,14225,41535,44625,48826
Bacolod,Philippines,Southeast Asia,10.664,122.961,12/1/92,9/1/00,3/1/15,269117,378445,443456,888,2788,3297,450,2249,2608,407,507,625,31,33,64,895,1309,1628,1783,4097,4925
Baghdad,Iraq,Western Asia and North Africa,33.32,44.379,8/1/90,8/1/00,8/1/13,2837103,3985382,5279193,34867,43502,56288,23812,34312,48597,10475,8618,7170,580,573,522,27413,25284,21207,62280,68786,77496
Baku,Azerbaijan,Western Asia and North Africa,40.4,49.881,7/1/89,1/1/00,8/1/14,1318615,1383761,1671787,9358,13691,18670,7705,11559,16498,1582,1993,2040,72,138,132,4889,6293,6992,14247,19984,25662
Bamako,Mali,Sub-Saharan Africa,12.65,-8,1/1/90,10/1/00,11/1/13,352486,1113715,2358106,2648,8975,17644,2118,7574,14501,490,1318,2943,40,82,200,1432,4163,7894,4081,13138,25538
